이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
ㅇㅇ(hungfan4),hungfan4,비고정,2599,119037,3912,3642,2120,45.8,15.83,1.51,100.35,1.4,18.08,1837.04
읭구스,necklace1095,고정,2364,103234,1270,5499,5023,43.67,10.44,0.54,-28.35,2.33,96.52,2227.98
노베강고,vyxl7z9o1ly2,고정,2052,110526,2225,2644,1060,53.86,36.22,1.08,43.3,1.29,8.81,1339.92
막사는인생,qwer2829,고정,2038,104001,1047,2856,1518,51.03,29.06,0.51,-32.33,1.4,18.08,1414.52
ㅇㅇ(anecdote0000),anecdote0000,비고정,2004,101525,2726,9570,6277,50.66,28.12,1.36,80.45,4.78,303.17,2252.1
ㅇㅇ(crop8179),crop8179,비고정,1754,97153,2977,6365,4338,55.39,40.09,1.7,125.56,3.63,206.17,1763.08
리는우위,paint7151,고정,1501,72689,651,3569,2728,48.43,22.48,0.43,-42.95,2.38,100.74,1331.6
ㅇㅇ(kasmii),kasmii,비고정,1300,55126,249,2625,1540,42.4,7.23,0.19,-74.79,2.02,70.38,1005.2
김춘삼,these0505,고정,1293,86091,2047,5887,3820,66.58,68.39,1.58,109.64,4.55,283.77,1411.68
표본,waegok,고정,1028,70360,1584,3761,1929,68.44,73.09,1.54,104.33,3.66,208.7,922.9
원더호이,those0482,고정,1015,51150,979,5132,3201,50.39,27.44,0.96,27.38,5.06,326.79,1144.58
촌동네싫어요,decent5456,고정,1006,52761,395,5130,4494,52.45,32.65,0.39,-48.25,5.1,330.16,1372.28
논리철학논고,revive7777,고정,972,49865,333,3649,3754,51.3,29.74,0.34,-54.89,3.75,216.29,1220.04
콩가리.,cartoon7369,고정,963,59317,1614,1784,913,61.6,55.79,1.68,122.91,1.85,56.04,703.62
안달,mystery1328,고정,947,73933,1646,7302,3633,78.07,97.44,1.74,130.87,7.71,550.3,1184.26
쿠로시오,random8841,고정,920,42741,286,3521,2937,46.46,17.5,0.31,-58.87,3.83,223.04,1043.86
레헬른,sunrise4000,고정,879,80276,2542,2286,1040,91.33,130.98,2.89,283.45,2.6,119.3,679.44
